MedianOfMedians,2449541,100000
Naive,3784500,100000
RandSelect,5068750,1000000
MedianOfMedians,22989625,1000000
Naive,46507500,1000000
RandSelect,76833125,10000000
MedianOfMedians,230014625,10000000
Naive,537749834,10000000
RandSelect,1375,1
MedianOfMedians,1958,1
Naive,1250,1
RandSelect,9042,10
MedianOfMedians,4416,10
Naive,541,10
RandSelect,1375,100
MedianOfMedians,4333,100
Naive,7833,100
RandSelect,8792,1000
MedianOfMedians,16875,1000
Naive,28667,1000
RandSelect,58458,10000
MedianOfMedians,262416,10000
Naive,338458,10000
RandSelect,714250,100000
MedianOfMedians,2474125,100000
Naive,3870000,100000
RandSelect,6960750,1000000
MedianOfMedians,23596417,1000000
Naive,46593833,1000000
RandSelect,51069875,10000000
MedianOfMedians,234826125,10000000
Naive,541547417,10000000
RandSelect,875,1
MedianOfMedians,1250,1
Naive,4667,1
RandSelect,4625,10
MedianOfMedians,5833,10
Naive,541,10
RandSelect,1542,100
MedianOfMedians,14458,100
Naive,11291,100
RandSelect,7959,1000
MedianOfMedians,31791,1000
Naive,25208,1000
RandSelect,86416,10000
MedianOfMedians,272792,10000
Naive,338167,10000
RandSelect,634625,100000
MedianOfMedians,2477666,100000
Naive,4065750,100000
RandSelect,6472000,1000000
MedianOfMedians,23753167,1000000
Naive,47413208,1000000
RandSelect,51390167,10000000
MedianOfMedians,233449750,10000000
Naive,547222542,10000000
RandSelect,1584,1
MedianOfMedians,1292,1
Naive,667,1
RandSelect,2500,10
MedianOfMedians,3042,10
Naive,458,10
RandSelect,1250,100
MedianOfMedians,4541,100
Naive,3375,100
RandSelect,8791,1000
MedianOfMedians,30208,1000
Naive,23292,1000
RandSelect,85416,10000
MedianOfMedians,245916,10000
Naive,316709,10000
RandSelect,732167,100000
MedianOfMedians,2463166,100000
Naive,4077500,100000
RandSelect,5177125,1000000
MedianOfMedians,23471417,1000000
Naive,47718917,1000000
RandSelect,70282041,10000000
MedianOfMedians,231719667,10000000
Naive,544763792,10000000
